actor_id,first_name,last_name,last_update
37,VAL,BOLGER,2020-02-15 04:34:33-05
38,TOM,MCKELLEN,2020-02-15 04:34:33-05
39,GOLDIE,BRODY,2020-02-15 04:34:33-05
40,JOHNNY,CAGE,2020-02-15 04:34:33-05
41,JODIE,DEGENERES,2020-02-15 04:34:33-05
42,TOM,MIRANDA,2020-02-15 04:34:33-05
43,KIRK,JOVOVICH,2020-02-15 04:34:33-05
44,NICK,STALLONE,2020-02-15 04:34:33-05
45,REESE,KILMER,2020-02-15 04:34:33-05
46,PARKER,GOLDBERG,2020-02-15 04:34:33-05
47,JULIA,BARRYMORE,2020-02-15 04:34:33-05
48,FRANCES,DAY-LEWIS,2020-02-15 04:34:33-05
49,ANNE,CRONYN,2020-02-15 04:34:33-05
50,NATALIE,HOPKINS,2020-02-15 04:34:33-05
51,GARY,PHOENIX,2020-02-15 04:34:33-05
52,CARMEN,HUNT,2020-02-15 04:34:33-05
53,MENA,TEMPLE,2020-02-15 04:34:33-05
54,PENELOPE,PINKETT,2020-02-15 04:34:33-05
55,FAY,KILMER,2020-02-15 04:34:33-05
56,DAN,HARRIS,2020-02-15 04:34:33-05
57,JUDE,CRUISE,2020-02-15 04:34:33-05
58,CHRISTIAN,AKROYD,2020-02-15 04:34:33-05
59,DUSTIN,TAUTOU,2020-02-15 04:34:33-05
60,HENRY,BERRY,2020-02-15 04:34:33-05
61,CHRISTIAN,NEESON,2020-02-15 04:34:33-05
62,JAYNE,NEESON,2020-02-15 04:34:33-05
63,CAMERON,WRAY,2020-02-15 04:34:33-05
64,RAY,JOHANSSON,2020-02-15 04:34:33-05
65,ANGELA,HUDSON,2020-02-15 04:34:33-05
66,MARY,TANDY,2020-02-15 04:34:33-05
67,JESSICA,BAILEY,2020-02-15 04:34:33-05
68,RIP,WINSLET,2020-02-15 04:34:33-05
69,KENNETH,PALTROW,2020-02-15 04:34:33-05
70,MICHELLE,MCCONAUGHEY,2020-02-15 04:34:33-05
71,ADAM,GRANT,2020-02-15 04:34:33-05
72,SEAN,WILLIAMS,2020-02-15 04:34:33-05
73,GARY,PENN,2020-02-15 04:34:33-05
74,MILLA,KEITEL,2020-02-15 04:34:33-05
75,BURT,POSEY,2020-02-15 04:34:33-05
76,ANGELINA,ASTAIRE,2020-02-15 04:34:33-05
77,CARY,MCCONAUGHEY,2020-02-15 04:34:33-05
78,GROUCHO,SINATRA,2020-02-15 04:34:33-05
79,MAE,HOFFMAN,2020-02-15 04:34:33-05
80,RALPH,CRUZ,2020-02-15 04:34:33-05
81,SCARLETT,DAMON,2020-02-15 04:34:33-05
82,WOODY,JOLIE,2020-02-15 04:34:33-05
83,BEN,WILLIS,2020-02-15 04:34:33-05
84,JAMES,PITT,2020-02-15 04:34:33-05
85,MINNIE,ZELLWEGER,2020-02-15 04:34:33-05
86,GREG,CHAPLIN,2020-02-15 04:34:33-05
87,SPENCER,PECK,2020-02-15 04:34:33-05
88,KENNETH,PESCI,2020-02-15 04:34:33-05
89,CHARLIZE,DENCH,2020-02-15 04:34:33-05
90,SEAN,GUINESS,2020-02-15 04:34:33-05
91,CHRISTOPHER,BERRY,2020-02-15 04:34:33-05
92,KIRSTEN,AKROYD,2020-02-15 04:34:33-05
93,ELLEN,PRESLEY,2020-02-15 04:34:33-05
94,KENNETH,TORN,2020-02-15 04:34:33-05
95,DARYL,WAHLBERG,2020-02-15 04:34:33-05
96,GENE,WILLIS,2020-02-15 04:34:33-05
97,MEG,HAWKE,2020-02-15 04:34:33-05
98,CHRIS,BRIDGES,2020-02-15 04:34:33-05
99,JIM,MOSTEL,2020-02-15 04:34:33-05
100,SPENCER,DEPP,2020-02-15 04:34:33-05
101,SUSAN,DAVIS,2020-02-15 04:34:33-05
102,WALTER,TORN,2020-02-15 04:34:33-05
103,MATTHEW,LEIGH,2020-02-15 04:34:33-05
104,PENELOPE,CRONYN,2020-02-15 04:34:33-05
105,SIDNEY,CROWE,2020-02-15 04:34:33-05
106,GROUCHO,DUNST,2020-02-15 04:34:33-05
107,GINA,DEGENERES,2020-02-15 04:34:33-05
108,WARREN,NOLTE,2020-02-15 04:34:33-05
109,SYLVESTER,DERN,2020-02-15 04:34:33-05
110,SUSAN,DAVIS,2020-02-15 04:34:33-05
111,CAMERON,ZELLWEGER,2020-02-15 04:34:33-05
112,RUSSELL,BACALL,2020-02-15 04:34:33-05
113,MORGAN,HOPKINS,2020-02-15 04:34:33-05
114,MORGAN,MCDORMAND,2020-02-15 04:34:33-05
115,HARRISON,BALE,2020-02-15 04:34:33-05
116,DAN,STREEP,2020-02-15 04:34:33-05
117,RENEE,TRACY,2020-02-15 04:34:33-05
118,CUBA,ALLEN,2020-02-15 04:34:33-05
119,WARREN,JACKMAN,2020-02-15 04:34:33-05
120,PENELOPE,MONROE,2020-02-15 04:34:33-05
121,LIZA,BERGMAN,2020-02-15 04:34:33-05
122,SALMA,NOLTE,2020-02-15 04:34:33-05
123,JULIANNE,DENCH,2020-02-15 04:34:33-05
124,SCARLETT,BENING,2020-02-15 04:34:33-05
125,ALBERT,NOLTE,2020-02-15 04:34:33-05
126,FRANCES,TOMEI,2020-02-15 04:34:33-05
127,KEVIN,GARLAND,2020-02-15 04:34:33-05
128,CATE,MCQUEEN,2020-02-15 04:34:33-05
129,DARYL,CRAWFORD,2020-02-15 04:34:33-05
130,GRETA,KEITEL,2020-02-15 04:34:33-05
131,JANE,JACKMAN,2020-02-15 04:34:33-05
132,ADAM,HOPPER,2020-02-15 04:34:33-05
133,RICHARD,PENN,2020-02-15 04:34:33-05
134,GENE,HOPKINS,2020-02-15 04:34:33-05
135,RITA,REYNOLDS,2020-02-15 04:34:33-05
136,ED,MANSFIELD,2020-02-15 04:34:33-05
137,MORGAN,WILLIAMS,2020-02-15 04:34:33-05
138,LUCILLE,DEE,2020-02-15 04:34:33-05
139,EWAN,GOODING,2020-02-15 04:34:33-05
140,WHOOPI,HURT,2020-02-15 04:34:33-05
141,CATE,HARRIS,2020-02-15 04:34:33-05
142,JADA,RYDER,2020-02-15 04:34:33-05
143,RIVER,DEAN,2020-02-15 04:34:33-05
144,ANGELA,WITHERSPOON,2020-02-15 04:34:33-05
145,KIM,ALLEN,2020-02-15 04:34:33-05
146,ALBERT,JOHANSSON,2020-02-15 04:34:33-05
147,FAY,WINSLET,2020-02-15 04:34:33-05
148,EMILY,DEE,2020-02-15 04:34:33-05
149,RUSSELL,TEMPLE,2020-02-15 04:34:33-05
150,JAYNE,NOLTE,2020-02-15 04:34:33-05
151,GEOFFREY,HESTON,2020-02-15 04:34:33-05
152,BEN,HARRIS,2020-02-15 04:34:33-05
153,MINNIE,KILMER,2020-02-15 04:34:33-05
154,MERYL,GIBSON,2020-02-15 04:34:33-05
155,IAN,TANDY,2020-02-15 04:34:33-05
156,FAY,WOOD,2020-02-15 04:34:33-05
157,GRETA,MALDEN,2020-02-15 04:34:33-05
158,VIVIEN,BASINGER,2020-02-15 04:34:33-05
159,LAURA,BRODY,2020-02-15 04:34:33-05
160,CHRIS,DEPP,2020-02-15 04:34:33-05
161,HARVEY,HOPE,2020-02-15 04:34:33-05
162,OPRAH,KILMER,2020-02-15 04:34:33-05
163,CHRISTOPHER,WEST,2020-02-15 04:34:33-05
164,HUMPHREY,WILLIS,2020-02-15 04:34:33-05
165,AL,GARLAND,2020-02-15 04:34:33-05
166,NICK,DEGENERES,2020-02-15 04:34:33-05
167,LAURENCE,BULLOCK,2020-02-15 04:34:33-05
168,WILL,WILSON,2020-02-15 04:34:33-05
169,KENNETH,HOFFMAN,2020-02-15 04:34:33-05
170,MENA,HOPPER,2020-02-15 04:34:33-05
171,OLYMPIA,PFEIFFER,2020-02-15 04:34:33-05
172,GROUCHO,WILLIAMS,2020-02-15 04:34:33-05
173,ALAN,DREYFUSS,2020-02-15 04:34:33-05
174,MICHAEL,BENING,2020-02-15 04:34:33-05
175,WILLIAM,HACKMAN,2020-02-15 04:34:33-05
176,JON,CHASE,2020-02-15 04:34:33-05
177,GENE,MCKELLEN,2020-02-15 04:34:33-05
178,LISA,MONROE,2020-02-15 04:34:33-05
179,ED,GUINESS,2020-02-15 04:34:33-05
180,JEFF,SILVERSTONE,2020-02-15 04:34:33-05
181,MATTHEW,CARREY,2020-02-15 04:34:33-05
182,DEBBIE,AKROYD,2020-02-15 04:34:33-05
183,RUSSELL,CLOSE,2020-02-15 04:34:33-05
184,HUMPHREY,GARLAND,2020-02-15 04:34:33-05
185,MICHAEL,BOLGER,2020-02-15 04:34:33-05
186,JULIA,ZELLWEGER,2020-02-15 04:34:33-05
187,RENEE,BALL,2020-02-15 04:34:33-05
188,ROCK,DUKAKIS,2020-02-15 04:34:33-05
189,CUBA,BIRCH,2020-02-15 04:34:33-05
190,AUDREY,BAILEY,2020-02-15 04:34:33-05
191,GREGORY,GOODING,2020-02-15 04:34:33-05
192,JOHN,SUVARI,2020-02-15 04:34:33-05
193,BURT,TEMPLE,2020-02-15 04:34:33-05
194,MERYL,ALLEN,2020-02-15 04:34:33-05
195,JAYNE,SILVERSTONE,2020-02-15 04:34:33-05
196,BELA,WALKEN,2020-02-15 04:34:33-05
197,REESE,WEST,2020-02-15 04:34:33-05
198,MARY,KEITEL,2020-02-15 04:34:33-05
199,JULIA,FAWCETT,2020-02-15 04:34:33-05
200,THORA,TEMPLE,2020-02-15 04:34:33-05
