payment_id,customer_id,staff_id,rental_id,amount,payment_date
16088,287,2,498,0.99,2020-01-27 18:29:47.996577-05
16089,287,1,655,2.99,2020-01-28 13:44:46.996577-05
16090,287,2,964,2.99,2020-01-30 12:21:47.996577-05
16091,288,2,93,3.99,2020-01-25 09:22:42.996577-05
16092,288,2,427,6.99,2020-01-27 09:38:30.996577-05
16093,288,1,503,4.99,2020-01-27 19:03:51.996577-05
16094,288,2,565,5.99,2020-01-28 02:54:57.996577-05
16095,290,1,160,2.99,2020-01-25 19:14:46.996577-05
16096,291,1,54,4.99,2020-01-25 00:51:51.996577-05
16097,291,2,747,4.99,2020-01-29 02:55:00.996577-05
16098,291,1,1012,2.99,2020-01-30 19:46:31.996577-05
16099,292,1,324,0.99,2020-01-26 18:28:30.996577-05
16100,293,2,445,0.99,2020-01-27 12:11:23.996577-05
16101,293,1,924,4.99,2020-01-30 05:39:25.996577-05
16102,293,2,1034,8.99,2020-01-30 22:22:06.996577-05
16103,294,1,595,1.99,2020-01-28 07:28:20.996577-05
16104,295,2,371,3.99,2020-01-27 01:36:44.996577-05
16105,296,2,162,4.99,2020-01-25 19:30:31.996577-05
16106,296,1,511,5.99,2020-01-27 20:32:30.996577-05
16107,296,1,869,4.99,2020-01-29 21:50:32.996577-05
16108,296,2,956,2.99,2020-01-30 10:58:54.996577-05
16109,297,2,143,0.99,2020-01-25 17:14:18.996577-05
16110,297,1,954,3.99,2020-01-30 10:25:55.996577-05
16111,298,1,383,3.99,2020-01-27 03:40:46.996577-05
16112,299,1,332,5.99,2020-01-26 19:55:36.996577-05
16113,299,2,606,8.99,2020-01-28 08:17:05.996577-05
16114,300,2,457,0.99,2020-01-27 13:20:55.996577-05
16115,300,1,780,3.99,2020-01-29 07:46:58.996577-05
16116,300,1,1111,4.99,2020-01-31 08:52:45.996577-05
16117,301,2,27,4.99,2020-01-24 21:10:16.996577-05
16118,301,2,227,5.99,2020-01-26 04:20:12.996577-05
16119,301,1,955,0.99,2020-01-30 10:27:29.996577-05
16120,302,2,38,4.99,2020-01-24 22:16:10.996577-05
16121,302,2,92,5.99,2020-01-25 09:07:12.996577-05
16122,303,1,265,0.99,2020-01-26 09:36:04.996577-05
16123,303,1,871,2.99,2020-01-29 22:29:56.996577-05
16124,303,2,1050,4.99,2020-01-31 00:29:53.996577-05
16125,304,1,135,10.99,2020-01-25 15:27:24.996577-05
16126,304,1,415,0.99,2020-01-27 08:20:11.996577-05
16127,304,2,937,2.99,2020-01-30 08:15:57.996577-05
16128,305,2,69,2.99,2020-01-25 03:38:40.996577-05
16129,306,2,375,3.99,2020-01-27 02:17:47.996577-05
16130,306,2,672,6.99,2020-01-28 15:33:55.996577-05
16131,307,2,413,4.99,2020-01-27 08:14:03.996577-05
16132,307,1,535,4.99,2020-01-27 23:44:58.996577-05
16133,307,1,614,1.99,2020-01-28 09:01:54.996577-05
16134,307,1,970,6.99,2020-01-30 13:18:54.996577-05
16135,308,2,589,3.99,2020-01-28 05:56:16.996577-05
16136,309,2,218,6.99,2020-01-26 02:55:35.996577-05
16137,309,2,723,0.99,2020-01-28 23:03:10.996577-05
16138,310,2,104,0.99,2020-01-25 11:14:59.996577-05
16139,311,2,274,5.99,2020-01-26 10:17:17.996577-05
16140,311,2,544,6.99,2020-01-28 00:31:26.996577-05
16141,311,1,952,2.99,2020-01-30 09:56:33.996577-05
16142,311,2,990,3.99,2020-01-30 16:53:40.996577-05
16143,311,2,1128,6.99,2020-01-31 11:17:52.996577-05
16144,312,2,229,4.99,2020-01-26 04:47:46.996577-05
16145,312,1,530,0.99,2020-01-27 22:41:27.996577-05
16146,312,2,1049,4.99,2020-01-31 00:25:30.996577-05
16147,312,2,1079,6.99,2020-01-31 04:16:43.996577-05
16148,313,2,669,4.99,2020-01-28 15:31:51.996577-05
16149,313,2,712,2.99,2020-01-28 21:30:50.996577-05
16150,313,2,781,0.99,2020-01-29 07:52:24.996577-05
16151,313,2,843,0.99,2020-01-29 18:12:50.996577-05
16152,314,1,80,5.99,2020-01-25 05:40:33.996577-05
16153,314,1,440,4.99,2020-01-27 11:29:01.996577-05
16154,315,1,537,8.99,2020-01-27 23:49:21.996577-05
16155,315,1,551,4.99,2020-01-28 01:12:44.996577-05
16156,316,1,16,4.99,2020-01-24 18:11:37.996577-05
16157,316,1,644,8.99,2020-01-28 12:27:38.996577-05
16158,316,1,1065,1.99,2020-01-31 02:23:22.996577-05
16159,317,1,107,6.99,2020-01-25 11:56:35.996577-05
16160,318,1,224,9.99,2020-01-26 03:46:53.996577-05
16161,319,1,15,9.99,2020-01-24 18:07:48.996577-05
16162,319,1,149,3.99,2020-01-25 17:56:31.996577-05
16163,319,1,439,2.99,2020-01-27 11:23:14.996577-05
16164,321,2,200,4.99,2020-01-26 00:40:47.996577-05
16165,321,1,620,5.99,2020-01-28 09:23:11.996577-05
16166,321,2,818,4.99,2020-01-29 14:16:19.996577-05
16167,322,2,166,0.99,2020-01-25 20:17:37.996577-05
16168,322,1,269,4.99,2020-01-26 09:48:12.996577-05
16169,323,1,58,4.99,2020-01-25 02:21:40.996577-05
16170,323,2,729,2.99,2020-01-29 00:03:39.996577-05
16171,323,1,878,5.99,2020-01-29 23:17:39.996577-05
16172,324,2,563,3.99,2020-01-28 02:39:15.996577-05
16173,325,1,131,5.99,2020-01-25 15:11:12.996577-05
16174,326,1,875,6.99,2020-01-29 23:06:50.996577-05
16175,326,2,981,4.99,2020-01-30 15:21:08.996577-05
16176,326,2,1149,3.99,2020-01-31 14:31:43.996577-05
16177,327,1,653,6.99,2020-01-28 13:40:46.996577-05
16178,328,2,862,2.99,2020-01-29 20:37:37.996577-05
16179,330,1,704,3.99,2020-01-28 20:13:09.996577-05
16180,330,2,967,7.99,2020-01-30 12:40:32.996577-05
16181,331,2,87,0.99,2020-01-25 07:21:09.996577-05
16182,331,1,996,2.99,2020-01-30 17:34:46.996577-05
16183,332,2,600,3.99,2020-01-28 07:36:45.996577-05
16184,332,1,1000,6.99,2020-01-30 17:54:22.996577-05
16185,333,1,4,4.99,2020-01-24 16:33:07.996577-05
16186,334,1,13,6.99,2020-01-24 17:51:21.996577-05
16187,334,1,431,8.99,2020-01-27 09:59:31.996577-05
16188,337,1,374,6.99,2020-01-27 01:54:56.996577-05
16189,337,1,572,4.99,2020-01-28 03:58:39.996577-05
16190,337,1,839,8.99,2020-01-29 17:56:38.996577-05
16191,338,1,675,0.99,2020-01-28 15:51:10.996577-05
16192,339,1,876,5.99,2020-01-29 23:09:48.996577-05
16193,343,2,102,3.99,2020-01-25 10:50:36.996577-05
16194,343,1,455,3.99,2020-01-27 13:11:55.996577-05
16195,344,2,157,2.99,2020-01-25 18:53:47.996577-05
16196,344,2,813,5.99,2020-01-29 13:43:00.996577-05
16197,345,1,206,0.99,2020-01-26 01:30:20.996577-05
16198,345,1,363,0.99,2020-01-27 00:42:26.996577-05
16199,346,1,65,4.99,2020-01-25 03:00:29.996577-05
16200,346,1,810,4.99,2020-01-29 12:40:30.996577-05
16201,348,2,153,0.99,2020-01-25 18:16:13.996577-05
16202,348,2,821,0.99,2020-01-29 14:59:38.996577-05
16203,349,1,890,4.99,2020-01-30 01:11:30.996577-05
16204,350,1,24,4.99,2020-01-24 20:21:28.996577-05
16205,350,1,802,4.99,2020-01-29 11:07:25.996577-05
16206,351,1,1137,1.99,2020-01-31 12:48:40.996577-05
16207,352,1,784,2.99,2020-01-29 08:12:48.996577-05
16208,353,2,1103,6.99,2020-01-31 07:52:44.996577-05
16209,354,1,140,0.99,2020-01-25 17:02:48.996577-05
16210,354,2,158,1.99,2020-01-25 18:55:37.996577-05
16211,354,2,402,0.99,2020-01-27 06:45:44.996577-05
16212,355,1,1110,3.99,2020-01-31 08:51:17.996577-05
16213,356,2,1088,4.99,2020-01-31 05:03:39.996577-05
16214,357,1,144,2.99,2020-01-25 17:18:22.996577-05
16215,357,1,824,4.99,2020-01-29 15:13:58.996577-05
16216,357,2,945,0.99,2020-01-30 09:01:43.996577-05
16217,358,2,858,4.99,2020-01-29 19:38:58.996577-05
16218,359,1,284,8.99,2020-01-26 12:50:10.996577-05
16219,359,2,392,2.99,2020-01-27 04:43:08.996577-05
16220,359,1,528,3.99,2020-01-27 21:58:31.996577-05
16221,360,1,633,0.99,2020-01-28 11:06:25.996577-05
16222,360,2,777,4.99,2020-01-29 07:36:24.996577-05
16223,361,1,368,5.99,2020-01-27 01:10:55.996577-05
16224,361,2,1120,4.99,2020-01-31 10:05:40.996577-05
16225,362,2,1035,4.99,2020-01-30 22:29:35.996577-05
16226,363,1,733,3.99,2020-01-29 01:03:47.996577-05
16227,364,1,462,5.99,2020-01-27 13:39:02.996577-05
16228,365,2,120,5.99,2020-01-25 13:06:13.996577-05
16229,365,1,231,4.99,2020-01-26 05:00:25.996577-05
16230,366,2,911,6.99,2020-01-30 04:18:48.996577-05
16231,367,1,939,0.99,2020-01-30 08:18:00.996577-05
16232,367,1,1089,2.99,2020-01-31 05:06:55.996577-05
16233,368,1,64,5.99,2020-01-25 02:49:55.996577-05
16234,368,1,125,5.99,2020-01-25 14:17:16.996577-05
16235,368,1,836,2.99,2020-01-29 17:25:08.996577-05
16236,368,1,949,2.99,2020-01-30 09:19:05.996577-05
16237,369,1,31,4.99,2020-01-24 21:33:43.996577-05
16238,369,1,294,4.99,2020-01-26 13:58:23.996577-05
16239,369,2,854,0.99,2020-01-29 19:24:37.996577-05
16240,369,2,913,7.99,2020-01-30 04:33:24.996577-05
16241,371,1,26,3.99,2020-01-24 21:05:16.996577-05
16242,371,2,286,6.99,2020-01-26 13:13:17.996577-05
16243,371,2,381,4.99,2020-01-27 03:11:51.996577-05
16244,371,1,384,5.99,2020-01-27 03:46:46.996577-05
16245,371,1,825,0.99,2020-01-29 15:18:07.996577-05
16246,371,1,829,2.99,2020-01-29 15:45:08.996577-05
16247,372,1,617,2.99,2020-01-28 09:17:40.996577-05
16248,372,1,638,2.99,2020-01-28 11:53:09.996577-05
16249,373,2,257,4.99,2020-01-26 08:55:31.996577-05
16250,374,1,521,0.99,2020-01-27 21:00:48.996577-05
16251,374,2,910,2.99,2020-01-30 04:14:42.996577-05
16252,374,2,919,0.99,2020-01-30 05:03:32.996577-05
16253,375,2,307,8.99,2020-01-26 15:16:39.996577-05
16254,375,1,412,4.99,2020-01-27 07:45:49.996577-05
16255,375,2,749,4.99,2020-01-29 03:01:59.996577-05
16256,375,1,873,2.99,2020-01-29 22:43:46.996577-05
16257,376,1,554,0.99,2020-01-28 01:51:42.996577-05
16258,378,1,347,0.99,2020-01-26 22:08:59.996577-05
16259,379,2,209,4.99,2020-01-26 01:42:27.996577-05
16260,379,1,863,4.99,2020-01-29 20:43:25.996577-05
16261,380,1,847,3.99,2020-01-29 18:46:41.996577-05
16262,381,2,169,0.99,2020-01-25 20:37:56.996577-05
16263,381,2,406,2.99,2020-01-27 07:15:12.996577-05
16264,381,1,835,2.99,2020-01-29 17:05:26.996577-05
16265,382,2,356,2.99,2020-01-27 00:00:56.996577-05
16266,382,1,522,2.99,2020-01-27 21:01:46.996577-05
16267,383,2,63,0.99,2020-01-25 02:47:42.996577-05
16268,383,1,766,8.99,2020-01-29 05:15:28.996577-05
16269,384,2,103,4.99,2020-01-25 10:59:08.996577-05
16270,384,2,279,2.99,2020-01-26 11:31:16.996577-05
16271,384,1,898,0.99,2020-01-30 02:54:45.996577-05
16272,384,2,1013,2.99,2020-01-30 20:05:26.996577-05
16273,385,1,917,2.99,2020-01-30 04:55:32.996577-05
16274,385,2,1038,4.99,2020-01-30 22:52:13.996577-05
16275,386,1,583,7.99,2020-01-28 05:17:21.996577-05
16276,387,2,302,4.99,2020-01-26 14:42:12.996577-05
16277,387,1,697,7.99,2020-01-28 19:32:30.996577-05
16278,387,1,841,4.99,2020-01-29 17:59:43.996577-05
16279,387,1,1127,3.99,2020-01-31 11:14:15.996577-05
16280,388,2,21,4.99,2020-01-24 19:28:12.996577-05
16281,388,2,411,4.99,2020-01-27 07:42:40.996577-05
16282,389,1,998,4.99,2020-01-30 17:45:23.996577-05
16283,390,1,254,4.99,2020-01-26 08:12:14.996577-05
16284,390,2,912,4.99,2020-01-30 04:26:59.996577-05
16285,391,2,73,4.99,2020-01-25 04:28:33.996577-05
16286,391,1,210,2.99,2020-01-26 01:42:41.996577-05
16287,391,1,317,5.99,2020-01-26 16:52:22.996577-05
16288,391,2,870,2.99,2020-01-29 21:54:13.996577-05
16289,391,1,891,7.99,2020-01-30 01:11:38.996577-05
16290,393,1,599,4.99,2020-01-28 07:34:23.996577-05
16291,393,2,886,0.99,2020-01-30 00:23:17.996577-05
16292,394,1,213,3.99,2020-01-26 02:12:34.996577-05
16293,394,1,977,2.99,2020-01-30 14:50:52.996577-05
16294,396,2,641,5.99,2020-01-28 12:14:13.996577-05
16295,397,2,1002,0.99,2020-01-30 18:16:22.996577-05
16296,398,1,486,4.99,2020-01-27 17:19:38.996577-05
16297,399,2,10,5.99,2020-01-24 17:30:47.996577-05
16298,399,2,694,6.99,2020-01-28 19:18:09.996577-05
16299,399,2,883,4.99,2020-01-29 23:49:31.996577-05
16300,400,1,95,3.99,2020-01-25 09:41:18.996577-05
16301,400,2,171,6.99,2020-01-25 20:42:41.996577-05
16302,400,2,516,1.99,2020-01-27 20:40:13.996577-05
16303,400,2,894,5.99,2020-01-30 01:59:57.996577-05
16304,401,2,167,4.99,2020-01-25 20:18:57.996577-05
16305,401,2,446,4.99,2020-01-27 12:17:07.996577-05
16306,401,2,811,1.99,2020-01-29 12:59:08.996577-05
16307,402,2,801,1.99,2020-01-29 11:04:16.996577-05
16308,403,1,442,2.99,2020-01-27 11:40:39.996577-05
16309,403,1,517,0.99,2020-01-27 20:46:23.996577-05
16310,404,2,1081,5.99,2020-01-31 04:24:58.996577-05
16311,405,1,121,2.99,2020-01-25 13:09:55.996577-05
16312,405,2,770,4.99,2020-01-29 06:25:16.996577-05
16313,406,1,855,0.99,2020-01-29 19:28:54.996577-05
16314,407,1,619,7.99,2020-01-28 09:20:52.996577-05
16315,408,2,3,3.99,2020-01-24 16:32:05.996577-05
16316,408,2,59,5.99,2020-01-25 02:25:08.996577-05
16317,408,1,526,2.99,2020-01-27 21:56:03.996577-05
16318,409,1,310,6.99,2020-01-26 16:09:33.996577-05
16319,411,2,686,4.99,2020-01-28 17:55:36.996577-05
16320,411,2,972,1.99,2020-01-30 13:49:33.996577-05
16321,412,2,191,0.99,2020-01-25 23:42:32.996577-05
16322,412,1,333,4.99,2020-01-26 20:20:47.996577-05
16323,412,1,717,0.99,2020-01-28 22:06:10.996577-05
16324,412,2,1043,3.99,2020-01-30 23:40:06.996577-05
16325,413,1,40,4.99,2020-01-24 22:37:30.996577-05
16326,413,1,999,4.99,2020-01-30 17:53:36.996577-05
16327,414,1,85,4.99,2020-01-25 06:34:00.996577-05
16328,414,1,261,3.99,2020-01-26 09:12:49.996577-05
16329,415,2,665,4.99,2020-01-28 15:07:05.996577-05
16330,416,2,253,0.99,2020-01-26 08:11:40.996577-05
16331,416,2,724,3.99,2020-01-28 23:21:49.996577-05
16332,416,2,1031,2.99,2020-01-30 21:51:27.996577-05
16333,417,1,267,4.99,2020-01-26 09:44:47.996577-05
16334,417,2,630,8.99,2020-01-28 10:53:17.996577-05
16335,417,2,833,4.99,2020-01-29 16:50:22.996577-05
16336,419,1,62,2.99,2020-01-25 02:47:18.996577-05
16337,420,2,744,4.99,2020-01-29 02:41:34.996577-05
16338,421,1,507,0.99,2020-01-27 19:59:45.996577-05
16339,421,1,931,0.99,2020-01-30 06:21:27.996577-05
16340,422,1,398,0.99,2020-01-27 06:12:29.996577-05
16341,424,2,403,0.99,2020-01-27 06:57:18.996577-05
16342,425,2,1098,5.99,2020-01-31 07:20:14.996577-05
16343,426,2,604,0.99,2020-01-28 08:05:33.996577-05
16344,427,2,82,6.99,2020-01-25 05:46:12.996577-05
16345,428,2,634,4.99,2020-01-28 11:09:01.996577-05
16346,429,2,150,5.99,2020-01-25 17:57:05.996577-05
16347,429,2,290,2.99,2020-01-26 13:36:59.996577-05
16348,429,2,601,7.99,2020-01-28 07:36:48.996577-05
16349,429,2,799,4.99,2020-01-29 10:53:14.996577-05
16350,429,2,844,4.99,2020-01-29 18:26:46.996577-05
16351,430,2,30,2.99,2020-01-24 21:29:58.996577-05
16352,430,1,364,4.99,2020-01-27 00:48:38.996577-05
16353,431,2,1126,2.99,2020-01-31 10:56:11.996577-05
16354,432,2,326,7.99,2020-01-26 18:38:37.996577-05
16355,432,1,550,5.99,2020-01-28 01:07:42.996577-05
16356,432,1,897,8.99,2020-01-30 02:38:27.996577-05
16357,433,2,146,8.99,2020-01-25 17:35:37.996577-05
16358,433,1,691,10.99,2020-01-28 18:29:52.996577-05
16359,434,2,508,5.99,2020-01-27 20:09:16.996577-05
16360,435,1,757,7.99,2020-01-29 03:58:13.996577-05
16361,435,1,806,4.99,2020-01-29 11:59:56.996577-05
16362,436,1,45,7.99,2020-01-24 23:28:05.996577-05
16363,436,1,256,3.99,2020-01-26 08:49:24.996577-05
16364,436,1,848,5.99,2020-01-29 18:48:19.996577-05
16365,437,1,192,2.99,2020-01-25 23:49:03.996577-05
16366,437,2,656,4.99,2020-01-28 13:46:50.996577-05
16367,437,1,666,5.99,2020-01-28 15:17:17.996577-05
16368,438,2,23,4.99,2020-01-24 20:08:47.996577-05
16369,438,2,1036,0.99,2020-01-30 22:49:36.996577-05
16370,438,1,1138,6.99,2020-01-31 12:58:53.996577-05
16371,439,1,126,2.99,2020-01-25 14:36:25.996577-05
16372,439,2,367,0.99,2020-01-27 01:05:28.996577-05
16373,439,1,786,9.99,2020-01-29 08:45:54.996577-05
16374,440,2,957,4.99,2020-01-30 11:21:55.996577-05
16375,441,1,823,4.99,2020-01-29 15:08:03.996577-05
16376,442,2,466,0.99,2020-01-27 14:25:33.996577-05
16377,442,2,558,6.99,2020-01-28 02:07:09.996577-05
16378,442,1,632,5.99,2020-01-28 11:06:16.996577-05
16379,443,2,1068,4.99,2020-01-31 03:00:41.996577-05
16380,444,1,201,8.99,2020-01-26 00:42:11.996577-05
16381,444,1,557,0.99,2020-01-28 02:04:48.996577-05
16382,445,1,481,2.99,2020-01-27 16:17:53.996577-05
16383,445,1,960,2.99,2020-01-30 11:41:49.996577-05
16384,446,2,14,0.99,2020-01-24 17:59:41.996577-05
16385,446,1,236,0.99,2020-01-26 05:22:15.996577-05
16386,446,1,355,4.99,2020-01-26 23:43:59.996577-05
16387,447,1,461,2.99,2020-01-27 13:37:21.996577-05
16388,447,2,732,0.99,2020-01-29 01:01:17.996577-05
16389,448,1,299,4.99,2020-01-26 14:24:02.996577-05
16390,448,2,1123,2.99,2020-01-31 10:17:09.996577-05
16391,449,2,263,4.99,2020-01-26 09:16:06.996577-05
16392,449,2,325,5.99,2020-01-26 18:38:21.996577-05
16393,449,1,849,7.99,2020-01-29 18:51:33.996577-05
16394,450,2,548,3.99,2020-01-28 01:03:22.996577-05
16395,451,2,77,0.99,2020-01-25 05:00:25.996577-05
16396,451,2,328,2.99,2020-01-26 18:57:57.996577-05
16397,451,2,1113,2.99,2020-01-31 09:27:10.996577-05
16398,452,1,354,2.99,2020-01-26 23:40:52.996577-05
16399,452,2,714,2.99,2020-01-28 21:43:47.996577-05
16400,452,1,726,1.99,2020-01-28 23:33:55.996577-05
16401,454,1,735,7.99,2020-01-29 01:36:39.996577-05
16402,455,2,115,0.99,2020-01-25 12:41:51.996577-05
16403,455,2,343,0.99,2020-01-26 21:42:07.996577-05
16404,456,2,19,4.99,2020-01-24 18:45:50.996577-05
16405,457,2,1024,7.99,2020-01-30 20:58:45.996577-05
16406,459,2,2,2.99,2020-01-24 16:22:59.996577-05
16407,460,1,223,4.99,2020-01-26 03:43:49.996577-05
16408,460,2,298,0.99,2020-01-26 14:20:52.996577-05
16409,460,1,880,0.99,2020-01-29 23:40:59.996577-05
16410,460,2,1064,4.99,2020-01-31 02:18:33.996577-05
16411,461,1,684,6.99,2020-01-28 17:41:41.996577-05
16412,462,2,156,2.99,2020-01-25 18:47:31.996577-05
16413,462,2,590,3.99,2020-01-28 06:35:16.996577-05
16414,463,1,560,1.99,2020-01-28 02:21:28.996577-05
16415,464,1,305,3.99,2020-01-26 14:50:33.996577-05
16416,464,2,373,1.99,2020-01-27 01:44:51.996577-05
16417,465,2,640,0.99,2020-01-28 12:11:52.996577-05
16418,466,2,1104,2.99,2020-01-31 07:58:27.996577-05
16419,467,2,225,4.99,2020-01-26 03:56:16.996577-05
16420,468,2,101,6.99,2020-01-25 10:45:30.996577-05
16421,468,1,186,4.99,2020-01-25 23:01:18.996577-05
16422,468,2,296,6.99,2020-01-26 14:03:45.996577-05
16423,468,2,459,0.99,2020-01-27 13:28:30.996577-05
16424,468,1,673,0.99,2020-01-28 15:35:56.996577-05
16425,469,1,168,0.99,2020-01-25 20:36:09.996577-05
16426,469,2,506,7.99,2020-01-27 19:37:45.996577-05
16427,469,2,529,4.99,2020-01-27 22:02:43.996577-05
16428,469,2,936,1.99,2020-01-30 07:21:15.996577-05
16429,469,1,1119,2.99,2020-01-31 10:02:53.996577-05
16430,470,2,60,2.99,2020-01-25 02:26:51.996577-05
16431,471,1,616,2.99,2020-01-28 09:14:05.996577-05
16432,472,2,142,0.99,2020-01-25 17:12:13.996577-05
16433,472,2,249,2.99,2020-01-26 07:47:35.996577-05
16434,472,2,800,0.99,2020-01-29 10:56:38.996577-05
16435,472,2,994,4.99,2020-01-30 17:24:02.996577-05
16436,473,1,348,4.99,2020-01-26 22:19:22.996577-05
16437,473,2,942,2.99,2020-01-30 08:34:13.996577-05
16438,473,2,973,3.99,2020-01-30 13:56:11.996577-05
16439,474,1,816,7.99,2020-01-29 13:55:05.996577-05
16440,475,2,417,4.99,2020-01-27 08:35:53.996577-05
16441,475,1,702,0.99,2020-01-28 19:55:56.996577-05
16442,476,1,489,4.99,2020-01-27 17:37:38.996577-05
16443,476,1,771,2.99,2020-01-29 06:27:40.996577-05
16444,477,1,882,2.99,2020-01-29 23:44:32.996577-05
16445,479,2,132,3.99,2020-01-25 15:15:20.996577-05
16446,479,1,709,7.99,2020-01-28 21:16:27.996577-05
16447,480,1,518,0.99,2020-01-27 20:46:28.996577-05
16448,480,1,720,6.99,2020-01-28 22:45:56.996577-05
16449,480,2,822,9.99,2020-01-29 15:04:26.996577-05
16450,481,2,1109,5.99,2020-01-31 08:40:41.996577-05
16451,482,1,259,8.99,2020-01-26 09:01:12.996577-05
16452,482,2,680,2.99,2020-01-28 16:55:52.996577-05
16453,482,2,879,0.99,2020-01-29 23:18:08.996577-05
16454,483,2,742,6.99,2020-01-29 02:04:56.996577-05
16455,484,2,35,4.99,2020-01-24 21:53:02.996577-05
16456,484,2,668,2.99,2020-01-28 15:23:11.996577-05
16457,484,2,727,2.99,2020-01-28 23:36:41.996577-05
16458,485,1,1009,2.99,2020-01-30 19:16:01.996577-05
16459,486,1,909,8.99,2020-01-30 04:12:04.996577-05
16460,486,2,946,2.99,2020-01-30 09:03:34.996577-05
16461,486,2,1129,0.99,2020-01-31 11:29:14.996577-05
16462,489,1,219,4.99,2020-01-26 03:10:11.996577-05
16463,489,2,513,2.99,2020-01-27 20:36:36.996577-05
16464,490,2,585,6.99,2020-01-28 05:19:11.996577-05
16465,490,2,676,4.99,2020-01-28 15:56:17.996577-05
16466,491,1,484,2.99,2020-01-27 16:55:11.996577-05
16467,491,2,1097,0.99,2020-01-31 07:07:08.996577-05
16468,492,1,84,2.99,2020-01-25 06:04:56.996577-05
16469,493,1,543,7.99,2020-01-28 00:12:00.996577-05
16470,494,1,608,4.99,2020-01-28 08:32:10.996577-05
16471,495,2,623,4.99,2020-01-28 09:29:54.996577-05
16472,495,2,741,4.99,2020-01-29 02:04:15.996577-05
16473,496,2,322,4.99,2020-01-26 18:16:01.996577-05
16474,496,2,966,0.99,2020-01-30 12:29:03.996577-05
16475,497,1,1100,7.99,2020-01-31 07:31:47.996577-05
16476,498,2,49,2.99,2020-01-25 00:08:01.996577-05
16477,498,1,429,8.99,2020-01-27 09:49:52.996577-05
16478,498,2,718,2.99,2020-01-28 22:20:49.996577-05
16479,499,2,89,2.99,2020-01-25 07:56:55.996577-05
16480,500,1,112,8.99,2020-01-25 12:25:50.996577-05
16481,500,1,389,8.99,2020-01-27 04:14:07.996577-05
16482,500,1,610,0.99,2020-01-28 08:43:51.996577-05
16483,501,1,493,0.99,2020-01-27 18:02:37.996577-05
16484,501,1,605,1.99,2020-01-28 08:07:36.996577-05
16485,502,2,258,2.99,2020-01-26 08:56:40.996577-05
16486,502,1,861,0.99,2020-01-29 20:16:58.996577-05
16487,502,1,893,2.99,2020-01-30 01:35:25.996577-05
16488,502,2,965,0.99,2020-01-30 12:28:40.996577-05
16489,503,2,109,1.99,2020-01-25 12:08:46.996577-05
16490,503,1,353,5.99,2020-01-26 23:32:05.996577-05
16491,503,1,631,2.99,2020-01-28 11:04:58.996577-05
16492,503,1,1074,4.99,2020-01-31 03:33:08.996577-05
16493,504,2,136,5.99,2020-01-25 15:30:56.996577-05
16494,504,2,470,4.99,2020-01-27 14:45:34.996577-05
16495,504,1,838,4.99,2020-01-29 17:56:23.996577-05
16496,505,1,159,2.99,2020-01-25 19:02:54.996577-05
16497,505,1,645,2.99,2020-01-28 12:42:35.996577-05
