city_id,city,country_id,last_update
87,Botshabelo,85,2020-02-15 04:45:25-05
88,Bradford,102,2020-02-15 04:45:25-05
89,Braslia,15,2020-02-15 04:45:25-05
90,Bratislava,84,2020-02-15 04:45:25-05
91,Brescia,49,2020-02-15 04:45:25-05
92,Brest,34,2020-02-15 04:45:25-05
93,Brindisi,49,2020-02-15 04:45:25-05
94,Brockton,103,2020-02-15 04:45:25-05
95,Bucuresti,78,2020-02-15 04:45:25-05
96,Buenaventura,24,2020-02-15 04:45:25-05
97,Bydgoszcz,76,2020-02-15 04:45:25-05
98,Cabuyao,75,2020-02-15 04:45:25-05
99,Callao,74,2020-02-15 04:45:25-05
100,Cam Ranh,105,2020-02-15 04:45:25-05
101,Cape Coral,103,2020-02-15 04:45:25-05
102,Caracas,104,2020-02-15 04:45:25-05
103,Carmen,60,2020-02-15 04:45:25-05
104,Cavite,75,2020-02-15 04:45:25-05
105,Cayenne,35,2020-02-15 04:45:25-05
106,Celaya,60,2020-02-15 04:45:25-05
107,Chandrapur,44,2020-02-15 04:45:25-05
108,Changhwa,92,2020-02-15 04:45:25-05
109,Changzhou,23,2020-02-15 04:45:25-05
110,Chapra,44,2020-02-15 04:45:25-05
111,Charlotte Amalie,106,2020-02-15 04:45:25-05
112,Chatsworth,85,2020-02-15 04:45:25-05
113,Cheju,86,2020-02-15 04:45:25-05
114,Chiayi,92,2020-02-15 04:45:25-05
115,Chisinau,61,2020-02-15 04:45:25-05
116,Chungho,92,2020-02-15 04:45:25-05
117,Cianjur,45,2020-02-15 04:45:25-05
118,Ciomas,45,2020-02-15 04:45:25-05
119,Ciparay,45,2020-02-15 04:45:25-05
120,Citrus Heights,103,2020-02-15 04:45:25-05
121,Citt del Vaticano,41,2020-02-15 04:45:25-05
122,Ciudad del Este,73,2020-02-15 04:45:25-05
123,Clarksville,103,2020-02-15 04:45:25-05
124,Coacalco de Berriozbal,60,2020-02-15 04:45:25-05
125,Coatzacoalcos,60,2020-02-15 04:45:25-05
126,Compton,103,2020-02-15 04:45:25-05
127,Coquimbo,22,2020-02-15 04:45:25-05
128,Crdoba,6,2020-02-15 04:45:25-05
129,Cuauhtmoc,60,2020-02-15 04:45:25-05
130,Cuautla,60,2020-02-15 04:45:25-05
131,Cuernavaca,60,2020-02-15 04:45:25-05
132,Cuman,104,2020-02-15 04:45:25-05
133,Czestochowa,76,2020-02-15 04:45:25-05
134,Dadu,72,2020-02-15 04:45:25-05
135,Dallas,103,2020-02-15 04:45:25-05
136,Datong,23,2020-02-15 04:45:25-05
137,Daugavpils,54,2020-02-15 04:45:25-05
138,Davao,75,2020-02-15 04:45:25-05
139,Daxian,23,2020-02-15 04:45:25-05
140,Dayton,103,2020-02-15 04:45:25-05
141,Deba Habe,69,2020-02-15 04:45:25-05
142,Denizli,97,2020-02-15 04:45:25-05
143,Dhaka,12,2020-02-15 04:45:25-05
144,Dhule (Dhulia),44,2020-02-15 04:45:25-05
145,Dongying,23,2020-02-15 04:45:25-05
146,Donostia-San Sebastin,87,2020-02-15 04:45:25-05
147,Dos Quebradas,24,2020-02-15 04:45:25-05
148,Duisburg,38,2020-02-15 04:45:25-05
149,Dundee,102,2020-02-15 04:45:25-05
150,Dzerzinsk,80,2020-02-15 04:45:25-05
151,Ede,67,2020-02-15 04:45:25-05
152,Effon-Alaiye,69,2020-02-15 04:45:25-05
153,El Alto,14,2020-02-15 04:45:25-05
154,El Fuerte,60,2020-02-15 04:45:25-05
155,El Monte,103,2020-02-15 04:45:25-05
156,Elista,80,2020-02-15 04:45:25-05
157,Emeishan,23,2020-02-15 04:45:25-05
158,Emmen,67,2020-02-15 04:45:25-05
159,Enshi,23,2020-02-15 04:45:25-05
160,Erlangen,38,2020-02-15 04:45:25-05
161,Escobar,6,2020-02-15 04:45:25-05
162,Esfahan,46,2020-02-15 04:45:25-05
163,Eskisehir,97,2020-02-15 04:45:25-05
164,Etawah,44,2020-02-15 04:45:25-05
165,Ezeiza,6,2020-02-15 04:45:25-05
166,Ezhou,23,2020-02-15 04:45:25-05
167,Faaa,36,2020-02-15 04:45:25-05
168,Fengshan,92,2020-02-15 04:45:25-05
169,Firozabad,44,2020-02-15 04:45:25-05
170,Florencia,24,2020-02-15 04:45:25-05
171,Fontana,103,2020-02-15 04:45:25-05
172,Fukuyama,50,2020-02-15 04:45:25-05
173,Funafuti,99,2020-02-15 04:45:25-05
174,Fuyu,23,2020-02-15 04:45:25-05
175,Fuzhou,23,2020-02-15 04:45:25-05
176,Gandhinagar,44,2020-02-15 04:45:25-05
177,Garden Grove,103,2020-02-15 04:45:25-05
178,Garland,103,2020-02-15 04:45:25-05
179,Gatineau,20,2020-02-15 04:45:25-05
180,Gaziantep,97,2020-02-15 04:45:25-05
181,Gijn,87,2020-02-15 04:45:25-05
182,Gingoog,75,2020-02-15 04:45:25-05
183,Goinia,15,2020-02-15 04:45:25-05
184,Gorontalo,45,2020-02-15 04:45:25-05
185,Grand Prairie,103,2020-02-15 04:45:25-05
186,Graz,9,2020-02-15 04:45:25-05
187,Greensboro,103,2020-02-15 04:45:25-05
188,Guadalajara,60,2020-02-15 04:45:25-05
189,Guaruj,15,2020-02-15 04:45:25-05
190,guas Lindas de Gois,15,2020-02-15 04:45:25-05
191,Gulbarga,44,2020-02-15 04:45:25-05
192,Hagonoy,75,2020-02-15 04:45:25-05
193,Haining,23,2020-02-15 04:45:25-05
194,Haiphong,105,2020-02-15 04:45:25-05
195,Haldia,44,2020-02-15 04:45:25-05
196,Halifax,20,2020-02-15 04:45:25-05
197,Halisahar,44,2020-02-15 04:45:25-05
198,Halle/Saale,38,2020-02-15 04:45:25-05
199,Hami,23,2020-02-15 04:45:25-05
200,Hamilton,68,2020-02-15 04:45:25-05
201,Hanoi,105,2020-02-15 04:45:25-05
202,Hidalgo,60,2020-02-15 04:45:25-05
203,Higashiosaka,50,2020-02-15 04:45:25-05
204,Hino,50,2020-02-15 04:45:25-05
205,Hiroshima,50,2020-02-15 04:45:25-05
206,Hodeida,107,2020-02-15 04:45:25-05
207,Hohhot,23,2020-02-15 04:45:25-05
208,Hoshiarpur,44,2020-02-15 04:45:25-05
209,Hsichuh,92,2020-02-15 04:45:25-05
210,Huaian,23,2020-02-15 04:45:25-05
211,Hubli-Dharwad,44,2020-02-15 04:45:25-05
212,Huejutla de Reyes,60,2020-02-15 04:45:25-05
213,Huixquilucan,60,2020-02-15 04:45:25-05
214,Hunuco,74,2020-02-15 04:45:25-05
215,Ibirit,15,2020-02-15 04:45:25-05
216,Idfu,29,2020-02-15 04:45:25-05
217,Ife,69,2020-02-15 04:45:25-05
218,Ikerre,69,2020-02-15 04:45:25-05
219,Iligan,75,2020-02-15 04:45:25-05
220,Ilorin,69,2020-02-15 04:45:25-05
221,Imus,75,2020-02-15 04:45:25-05
222,Inegl,97,2020-02-15 04:45:25-05
223,Ipoh,59,2020-02-15 04:45:25-05
224,Isesaki,50,2020-02-15 04:45:25-05
225,Ivanovo,80,2020-02-15 04:45:25-05
226,Iwaki,50,2020-02-15 04:45:25-05
227,Iwakuni,50,2020-02-15 04:45:25-05
228,Iwatsuki,50,2020-02-15 04:45:25-05
229,Izumisano,50,2020-02-15 04:45:25-05
230,Jaffna,88,2020-02-15 04:45:25-05
231,Jaipur,44,2020-02-15 04:45:25-05
232,Jakarta,45,2020-02-15 04:45:25-05
233,Jalib al-Shuyukh,53,2020-02-15 04:45:25-05
234,Jamalpur,12,2020-02-15 04:45:25-05
235,Jaroslavl,80,2020-02-15 04:45:25-05
236,Jastrzebie-Zdrj,76,2020-02-15 04:45:25-05
237,Jedda,82,2020-02-15 04:45:25-05
238,Jelets,80,2020-02-15 04:45:25-05
239,Jhansi,44,2020-02-15 04:45:25-05
240,Jinchang,23,2020-02-15 04:45:25-05
241,Jining,23,2020-02-15 04:45:25-05
242,Jinzhou,23,2020-02-15 04:45:25-05
243,Jodhpur,44,2020-02-15 04:45:25-05
244,Johannesburg,85,2020-02-15 04:45:25-05
245,Joliet,103,2020-02-15 04:45:25-05
246,Jos Azueta,60,2020-02-15 04:45:25-05
247,Juazeiro do Norte,15,2020-02-15 04:45:25-05
248,Juiz de Fora,15,2020-02-15 04:45:25-05
249,Junan,23,2020-02-15 04:45:25-05
250,Jurez,60,2020-02-15 04:45:25-05
251,Kabul,1,2020-02-15 04:45:25-05
252,Kaduna,69,2020-02-15 04:45:25-05
253,Kakamigahara,50,2020-02-15 04:45:25-05
254,Kaliningrad,80,2020-02-15 04:45:25-05
255,Kalisz,76,2020-02-15 04:45:25-05
256,Kamakura,50,2020-02-15 04:45:25-05
257,Kamarhati,44,2020-02-15 04:45:25-05
258,Kamjanets-Podilskyi,100,2020-02-15 04:45:25-05
259,Kamyin,80,2020-02-15 04:45:25-05
260,Kanazawa,50,2020-02-15 04:45:25-05
261,Kanchrapara,44,2020-02-15 04:45:25-05
262,Kansas City,103,2020-02-15 04:45:25-05
263,Karnal,44,2020-02-15 04:45:25-05
264,Katihar,44,2020-02-15 04:45:25-05
265,Kermanshah,46,2020-02-15 04:45:25-05
266,Kilis,97,2020-02-15 04:45:25-05
267,Kimberley,85,2020-02-15 04:45:25-05
268,Kimchon,86,2020-02-15 04:45:25-05
269,Kingstown,81,2020-02-15 04:45:25-05
270,Kirovo-Tepetsk,80,2020-02-15 04:45:25-05
271,Kisumu,52,2020-02-15 04:45:25-05
272,Kitwe,109,2020-02-15 04:45:25-05
273,Klerksdorp,85,2020-02-15 04:45:25-05
274,Kolpino,80,2020-02-15 04:45:25-05
275,Konotop,100,2020-02-15 04:45:25-05
276,Koriyama,50,2020-02-15 04:45:25-05
277,Korla,23,2020-02-15 04:45:25-05
278,Korolev,80,2020-02-15 04:45:25-05
279,Kowloon and New Kowloon,42,2020-02-15 04:45:25-05
280,Kragujevac,108,2020-02-15 04:45:25-05
281,Ktahya,97,2020-02-15 04:45:25-05
282,Kuching,59,2020-02-15 04:45:25-05
283,Kumbakonam,44,2020-02-15 04:45:25-05
284,Kurashiki,50,2020-02-15 04:45:25-05
285,Kurgan,80,2020-02-15 04:45:25-05
286,Kursk,80,2020-02-15 04:45:25-05
287,Kuwana,50,2020-02-15 04:45:25-05
288,La Paz,60,2020-02-15 04:45:25-05
289,La Plata,6,2020-02-15 04:45:25-05
290,La Romana,27,2020-02-15 04:45:25-05
291,Laiwu,23,2020-02-15 04:45:25-05
292,Lancaster,103,2020-02-15 04:45:25-05
293,Laohekou,23,2020-02-15 04:45:25-05
294,Lapu-Lapu,75,2020-02-15 04:45:25-05
295,Laredo,103,2020-02-15 04:45:25-05
296,Lausanne,91,2020-02-15 04:45:25-05
297,Le Mans,34,2020-02-15 04:45:25-05
298,Lengshuijiang,23,2020-02-15 04:45:25-05
299,Leshan,23,2020-02-15 04:45:25-05
300,Lethbridge,20,2020-02-15 04:45:25-05
301,Lhokseumawe,45,2020-02-15 04:45:25-05
302,Liaocheng,23,2020-02-15 04:45:25-05
303,Liepaja,54,2020-02-15 04:45:25-05
304,Lilongwe,58,2020-02-15 04:45:25-05
305,Lima,74,2020-02-15 04:45:25-05
306,Lincoln,103,2020-02-15 04:45:25-05
307,Linz,9,2020-02-15 04:45:25-05
308,Lipetsk,80,2020-02-15 04:45:25-05
309,Livorno,49,2020-02-15 04:45:25-05
310,Ljubertsy,80,2020-02-15 04:45:25-05
311,Loja,28,2020-02-15 04:45:25-05
312,London,102,2020-02-15 04:45:25-05
313,London,20,2020-02-15 04:45:25-05
314,Lublin,76,2020-02-15 04:45:25-05
315,Lubumbashi,25,2020-02-15 04:45:25-05
316,Lungtan,92,2020-02-15 04:45:25-05
317,Luzinia,15,2020-02-15 04:45:25-05
318,Madiun,45,2020-02-15 04:45:25-05
319,Mahajanga,57,2020-02-15 04:45:25-05
320,Maikop,80,2020-02-15 04:45:25-05
321,Malm,90,2020-02-15 04:45:25-05
322,Manchester,103,2020-02-15 04:45:25-05
323,Mandaluyong,75,2020-02-15 04:45:25-05
324,Mandi Bahauddin,72,2020-02-15 04:45:25-05
325,Mannheim,38,2020-02-15 04:45:25-05
326,Maracabo,104,2020-02-15 04:45:25-05
327,Mardan,72,2020-02-15 04:45:25-05
328,Maring,15,2020-02-15 04:45:25-05
329,Masqat,71,2020-02-15 04:45:25-05
330,Matamoros,60,2020-02-15 04:45:25-05
331,Matsue,50,2020-02-15 04:45:25-05
332,Meixian,23,2020-02-15 04:45:25-05
333,Memphis,103,2020-02-15 04:45:25-05
334,Merlo,6,2020-02-15 04:45:25-05
335,Mexicali,60,2020-02-15 04:45:25-05
336,Miraj,44,2020-02-15 04:45:25-05
337,Mit Ghamr,29,2020-02-15 04:45:25-05
338,Miyakonojo,50,2020-02-15 04:45:25-05
339,Mogiljov,13,2020-02-15 04:45:25-05
340,Molodetno,13,2020-02-15 04:45:25-05
341,Monclova,60,2020-02-15 04:45:25-05
342,Monywa,64,2020-02-15 04:45:25-05
343,Moscow,80,2020-02-15 04:45:25-05
344,Mosul,47,2020-02-15 04:45:25-05
345,Mukateve,100,2020-02-15 04:45:25-05
346,Munger (Monghyr),44,2020-02-15 04:45:25-05
347,Mwanza,93,2020-02-15 04:45:25-05
348,Mwene-Ditu,25,2020-02-15 04:45:25-05
349,Myingyan,64,2020-02-15 04:45:25-05
350,Mysore,44,2020-02-15 04:45:25-05
351,Naala-Porto,63,2020-02-15 04:45:25-05
352,Nabereznyje Telny,80,2020-02-15 04:45:25-05
353,Nador,62,2020-02-15 04:45:25-05
354,Nagaon,44,2020-02-15 04:45:25-05
355,Nagareyama,50,2020-02-15 04:45:25-05
356,Najafabad,46,2020-02-15 04:45:25-05
357,Naju,86,2020-02-15 04:45:25-05
358,Nakhon Sawan,94,2020-02-15 04:45:25-05
359,Nam Dinh,105,2020-02-15 04:45:25-05
360,Namibe,4,2020-02-15 04:45:25-05
361,Nantou,92,2020-02-15 04:45:25-05
362,Nanyang,23,2020-02-15 04:45:25-05
363,NDjamna,21,2020-02-15 04:45:25-05
364,Newcastle,85,2020-02-15 04:45:25-05
365,Nezahualcyotl,60,2020-02-15 04:45:25-05
366,Nha Trang,105,2020-02-15 04:45:25-05
367,Niznekamsk,80,2020-02-15 04:45:25-05
368,Novi Sad,108,2020-02-15 04:45:25-05
369,Novoterkassk,80,2020-02-15 04:45:25-05
370,Nukualofa,95,2020-02-15 04:45:25-05
371,Nuuk,40,2020-02-15 04:45:25-05
372,Nyeri,52,2020-02-15 04:45:25-05
373,Ocumare del Tuy,104,2020-02-15 04:45:25-05
374,Ogbomosho,69,2020-02-15 04:45:25-05
375,Okara,72,2020-02-15 04:45:25-05
376,Okayama,50,2020-02-15 04:45:25-05
377,Okinawa,50,2020-02-15 04:45:25-05
378,Olomouc,26,2020-02-15 04:45:25-05
379,Omdurman,89,2020-02-15 04:45:25-05
380,Omiya,50,2020-02-15 04:45:25-05
381,Ondo,69,2020-02-15 04:45:25-05
382,Onomichi,50,2020-02-15 04:45:25-05
383,Oshawa,20,2020-02-15 04:45:25-05
384,Osmaniye,97,2020-02-15 04:45:25-05
385,ostka,100,2020-02-15 04:45:25-05
386,Otsu,50,2020-02-15 04:45:25-05
387,Oulu,33,2020-02-15 04:45:25-05
388,Ourense (Orense),87,2020-02-15 04:45:25-05
389,Owo,69,2020-02-15 04:45:25-05
390,Oyo,69,2020-02-15 04:45:25-05
391,Ozamis,75,2020-02-15 04:45:25-05
392,Paarl,85,2020-02-15 04:45:25-05
393,Pachuca de Soto,60,2020-02-15 04:45:25-05
394,Pak Kret,94,2020-02-15 04:45:25-05
395,Palghat (Palakkad),44,2020-02-15 04:45:25-05
396,Pangkal Pinang,45,2020-02-15 04:45:25-05
397,Papeete,36,2020-02-15 04:45:25-05
398,Parbhani,44,2020-02-15 04:45:25-05
399,Pathankot,44,2020-02-15 04:45:25-05
400,Patiala,44,2020-02-15 04:45:25-05
401,Patras,39,2020-02-15 04:45:25-05
402,Pavlodar,51,2020-02-15 04:45:25-05
403,Pemalang,45,2020-02-15 04:45:25-05
404,Peoria,103,2020-02-15 04:45:25-05
405,Pereira,24,2020-02-15 04:45:25-05
406,Phnom Penh,18,2020-02-15 04:45:25-05
407,Pingxiang,23,2020-02-15 04:45:25-05
408,Pjatigorsk,80,2020-02-15 04:45:25-05
409,Plock,76,2020-02-15 04:45:25-05
410,Po,15,2020-02-15 04:45:25-05
411,Ponce,77,2020-02-15 04:45:25-05
412,Pontianak,45,2020-02-15 04:45:25-05
413,Poos de Caldas,15,2020-02-15 04:45:25-05
414,Portoviejo,28,2020-02-15 04:45:25-05
415,Probolinggo,45,2020-02-15 04:45:25-05
416,Pudukkottai,44,2020-02-15 04:45:25-05
417,Pune,44,2020-02-15 04:45:25-05
418,Purnea (Purnia),44,2020-02-15 04:45:25-05
419,Purwakarta,45,2020-02-15 04:45:25-05
420,Pyongyang,70,2020-02-15 04:45:25-05
421,Qalyub,29,2020-02-15 04:45:25-05
422,Qinhuangdao,23,2020-02-15 04:45:25-05
423,Qomsheh,46,2020-02-15 04:45:25-05
424,Quilmes,6,2020-02-15 04:45:25-05
425,Rae Bareli,44,2020-02-15 04:45:25-05
426,Rajkot,44,2020-02-15 04:45:25-05
427,Rampur,44,2020-02-15 04:45:25-05
428,Rancagua,22,2020-02-15 04:45:25-05
429,Ranchi,44,2020-02-15 04:45:25-05
430,Richmond Hill,20,2020-02-15 04:45:25-05
431,Rio Claro,15,2020-02-15 04:45:25-05
432,Rizhao,23,2020-02-15 04:45:25-05
433,Roanoke,103,2020-02-15 04:45:25-05
434,Robamba,28,2020-02-15 04:45:25-05
435,Rockford,103,2020-02-15 04:45:25-05
436,Ruse,17,2020-02-15 04:45:25-05
437,Rustenburg,85,2020-02-15 04:45:25-05
438,s-Hertogenbosch,67,2020-02-15 04:45:25-05
439,Saarbrcken,38,2020-02-15 04:45:25-05
440,Sagamihara,50,2020-02-15 04:45:25-05
441,Saint Louis,103,2020-02-15 04:45:25-05
442,Saint-Denis,79,2020-02-15 04:45:25-05
443,Sal,62,2020-02-15 04:45:25-05
444,Salala,71,2020-02-15 04:45:25-05
445,Salamanca,60,2020-02-15 04:45:25-05
446,Salinas,103,2020-02-15 04:45:25-05
447,Salzburg,9,2020-02-15 04:45:25-05
448,Sambhal,44,2020-02-15 04:45:25-05
449,San Bernardino,103,2020-02-15 04:45:25-05
450,San Felipe de Puerto Plata,27,2020-02-15 04:45:25-05
451,San Felipe del Progreso,60,2020-02-15 04:45:25-05
452,San Juan Bautista Tuxtepec,60,2020-02-15 04:45:25-05
453,San Lorenzo,73,2020-02-15 04:45:25-05
454,San Miguel de Tucumn,6,2020-02-15 04:45:25-05
455,Sanaa,107,2020-02-15 04:45:25-05
456,Santa Brbara dOeste,15,2020-02-15 04:45:25-05
457,Santa F,6,2020-02-15 04:45:25-05
458,Santa Rosa,75,2020-02-15 04:45:25-05
459,Santiago de Compostela,87,2020-02-15 04:45:25-05
460,Santiago de los Caballeros,27,2020-02-15 04:45:25-05
461,Santo Andr,15,2020-02-15 04:45:25-05
462,Sanya,23,2020-02-15 04:45:25-05
463,Sasebo,50,2020-02-15 04:45:25-05
464,Satna,44,2020-02-15 04:45:25-05
465,Sawhaj,29,2020-02-15 04:45:25-05
466,Serpuhov,80,2020-02-15 04:45:25-05
467,Shahr-e Kord,46,2020-02-15 04:45:25-05
468,Shanwei,23,2020-02-15 04:45:25-05
469,Shaoguan,23,2020-02-15 04:45:25-05
470,Sharja,101,2020-02-15 04:45:25-05
471,Shenzhen,23,2020-02-15 04:45:25-05
472,Shikarpur,72,2020-02-15 04:45:25-05
473,Shimoga,44,2020-02-15 04:45:25-05
474,Shimonoseki,50,2020-02-15 04:45:25-05
475,Shivapuri,44,2020-02-15 04:45:25-05
476,Shubra al-Khayma,29,2020-02-15 04:45:25-05
477,Siegen,38,2020-02-15 04:45:25-05
478,Siliguri (Shiliguri),44,2020-02-15 04:45:25-05
479,Simferopol,100,2020-02-15 04:45:25-05
480,Sincelejo,24,2020-02-15 04:45:25-05
481,Sirjan,46,2020-02-15 04:45:25-05
482,Sivas,97,2020-02-15 04:45:25-05
483,Skikda,2,2020-02-15 04:45:25-05
484,Smolensk,80,2020-02-15 04:45:25-05
485,So Bernardo do Campo,15,2020-02-15 04:45:25-05
486,So Leopoldo,15,2020-02-15 04:45:25-05
487,Sogamoso,24,2020-02-15 04:45:25-05
488,Sokoto,69,2020-02-15 04:45:25-05
489,Songkhla,94,2020-02-15 04:45:25-05
490,Sorocaba,15,2020-02-15 04:45:25-05
491,Soshanguve,85,2020-02-15 04:45:25-05
492,Sousse,96,2020-02-15 04:45:25-05
493,South Hill,5,2020-02-15 04:45:25-05
494,Southampton,102,2020-02-15 04:45:25-05
495,Southend-on-Sea,102,2020-02-15 04:45:25-05
496,Southport,102,2020-02-15 04:45:25-05
497,Springs,85,2020-02-15 04:45:25-05
498,Stara Zagora,17,2020-02-15 04:45:25-05
499,Sterling Heights,103,2020-02-15 04:45:25-05
500,Stockport,102,2020-02-15 04:45:25-05
501,Sucre,14,2020-02-15 04:45:25-05
502,Suihua,23,2020-02-15 04:45:25-05
503,Sullana,74,2020-02-15 04:45:25-05
504,Sultanbeyli,97,2020-02-15 04:45:25-05
505,Sumqayit,10,2020-02-15 04:45:25-05
506,Sumy,100,2020-02-15 04:45:25-05
507,Sungai Petani,59,2020-02-15 04:45:25-05
508,Sunnyvale,103,2020-02-15 04:45:25-05
509,Surakarta,45,2020-02-15 04:45:25-05
510,Syktyvkar,80,2020-02-15 04:45:25-05
511,Syrakusa,49,2020-02-15 04:45:25-05
512,Szkesfehrvr,43,2020-02-15 04:45:25-05
513,Tabora,93,2020-02-15 04:45:25-05
514,Tabriz,46,2020-02-15 04:45:25-05
515,Tabuk,82,2020-02-15 04:45:25-05
516,Tafuna,3,2020-02-15 04:45:25-05
517,Taguig,75,2020-02-15 04:45:25-05
518,Taizz,107,2020-02-15 04:45:25-05
519,Talavera,75,2020-02-15 04:45:25-05
520,Tallahassee,103,2020-02-15 04:45:25-05
521,Tama,50,2020-02-15 04:45:25-05
522,Tambaram,44,2020-02-15 04:45:25-05
523,Tanauan,75,2020-02-15 04:45:25-05
524,Tandil,6,2020-02-15 04:45:25-05
525,Tangail,12,2020-02-15 04:45:25-05
526,Tanshui,92,2020-02-15 04:45:25-05
527,Tanza,75,2020-02-15 04:45:25-05
528,Tarlac,75,2020-02-15 04:45:25-05
529,Tarsus,97,2020-02-15 04:45:25-05
530,Tartu,30,2020-02-15 04:45:25-05
531,Teboksary,80,2020-02-15 04:45:25-05
532,Tegal,45,2020-02-15 04:45:25-05
533,Tel Aviv-Jaffa,48,2020-02-15 04:45:25-05
534,Tete,63,2020-02-15 04:45:25-05
535,Tianjin,23,2020-02-15 04:45:25-05
536,Tiefa,23,2020-02-15 04:45:25-05
537,Tieli,23,2020-02-15 04:45:25-05
538,Tokat,97,2020-02-15 04:45:25-05
539,Tonghae,86,2020-02-15 04:45:25-05
540,Tongliao,23,2020-02-15 04:45:25-05
541,Torren,60,2020-02-15 04:45:25-05
542,Touliu,92,2020-02-15 04:45:25-05
543,Toulon,34,2020-02-15 04:45:25-05
544,Toulouse,34,2020-02-15 04:45:25-05
545,Trshavn,32,2020-02-15 04:45:25-05
546,Tsaotun,92,2020-02-15 04:45:25-05
547,Tsuyama,50,2020-02-15 04:45:25-05
548,Tuguegarao,75,2020-02-15 04:45:25-05
