film_id,category_id,last_update
257,16,2020-02-15 05:07:09-05
258,11,2020-02-15 05:07:09-05
259,2,2020-02-15 05:07:09-05
260,15,2020-02-15 05:07:09-05
261,6,2020-02-15 05:07:09-05
262,8,2020-02-15 05:07:09-05
263,15,2020-02-15 05:07:09-05
264,10,2020-02-15 05:07:09-05
265,5,2020-02-15 05:07:09-05
266,4,2020-02-15 05:07:09-05
267,13,2020-02-15 05:07:09-05
268,2,2020-02-15 05:07:09-05
269,8,2020-02-15 05:07:09-05
270,13,2020-02-15 05:07:09-05
271,1,2020-02-15 05:07:09-05
272,7,2020-02-15 05:07:09-05
273,8,2020-02-15 05:07:09-05
274,6,2020-02-15 05:07:09-05
275,11,2020-02-15 05:07:09-05
276,5,2020-02-15 05:07:09-05
277,11,2020-02-15 05:07:09-05
278,12,2020-02-15 05:07:09-05
279,15,2020-02-15 05:07:09-05
280,3,2020-02-15 05:07:09-05
281,10,2020-02-15 05:07:09-05
282,7,2020-02-15 05:07:09-05
283,13,2020-02-15 05:07:09-05
284,12,2020-02-15 05:07:09-05
285,14,2020-02-15 05:07:09-05
286,16,2020-02-15 05:07:09-05
287,1,2020-02-15 05:07:09-05
288,16,2020-02-15 05:07:09-05
289,13,2020-02-15 05:07:09-05
290,9,2020-02-15 05:07:09-05
291,15,2020-02-15 05:07:09-05
292,1,2020-02-15 05:07:09-05
293,15,2020-02-15 05:07:09-05
294,16,2020-02-15 05:07:09-05
295,6,2020-02-15 05:07:09-05
296,14,2020-02-15 05:07:09-05
297,4,2020-02-15 05:07:09-05
298,14,2020-02-15 05:07:09-05
299,16,2020-02-15 05:07:09-05
300,2,2020-02-15 05:07:09-05
301,11,2020-02-15 05:07:09-05
302,10,2020-02-15 05:07:09-05
303,1,2020-02-15 05:07:09-05
304,3,2020-02-15 05:07:09-05
305,13,2020-02-15 05:07:09-05
306,10,2020-02-15 05:07:09-05
307,16,2020-02-15 05:07:09-05
308,5,2020-02-15 05:07:09-05
309,8,2020-02-15 05:07:09-05
310,10,2020-02-15 05:07:09-05
311,9,2020-02-15 05:07:09-05
312,14,2020-02-15 05:07:09-05
313,11,2020-02-15 05:07:09-05
314,2,2020-02-15 05:07:09-05
315,8,2020-02-15 05:07:09-05
316,10,2020-02-15 05:07:09-05
317,5,2020-02-15 05:07:09-05
318,1,2020-02-15 05:07:09-05
319,14,2020-02-15 05:07:09-05
320,13,2020-02-15 05:07:09-05
321,13,2020-02-15 05:07:09-05
322,15,2020-02-15 05:07:09-05
323,15,2020-02-15 05:07:09-05
324,5,2020-02-15 05:07:09-05
325,2,2020-02-15 05:07:09-05
326,2,2020-02-15 05:07:09-05
327,1,2020-02-15 05:07:09-05
328,3,2020-02-15 05:07:09-05
329,1,2020-02-15 05:07:09-05
330,2,2020-02-15 05:07:09-05
331,10,2020-02-15 05:07:09-05
332,5,2020-02-15 05:07:09-05
333,12,2020-02-15 05:07:09-05
334,11,2020-02-15 05:07:09-05
335,5,2020-02-15 05:07:09-05
336,6,2020-02-15 05:07:09-05
337,9,2020-02-15 05:07:09-05
338,14,2020-02-15 05:07:09-05
339,16,2020-02-15 05:07:09-05
340,13,2020-02-15 05:07:09-05
341,4,2020-02-15 05:07:09-05
342,16,2020-02-15 05:07:09-05
343,3,2020-02-15 05:07:09-05
344,3,2020-02-15 05:07:09-05
345,8,2020-02-15 05:07:09-05
346,4,2020-02-15 05:07:09-05
347,16,2020-02-15 05:07:09-05
348,8,2020-02-15 05:07:09-05
349,2,2020-02-15 05:07:09-05
350,14,2020-02-15 05:07:09-05
351,11,2020-02-15 05:07:09-05
352,10,2020-02-15 05:07:09-05
353,9,2020-02-15 05:07:09-05
354,3,2020-02-15 05:07:09-05
355,2,2020-02-15 05:07:09-05
356,3,2020-02-15 05:07:09-05
357,4,2020-02-15 05:07:09-05
358,4,2020-02-15 05:07:09-05
359,8,2020-02-15 05:07:09-05
360,1,2020-02-15 05:07:09-05
361,15,2020-02-15 05:07:09-05
362,10,2020-02-15 05:07:09-05
363,12,2020-02-15 05:07:09-05
364,13,2020-02-15 05:07:09-05
365,5,2020-02-15 05:07:09-05
366,7,2020-02-15 05:07:09-05
367,14,2020-02-15 05:07:09-05
368,7,2020-02-15 05:07:09-05
369,14,2020-02-15 05:07:09-05
370,3,2020-02-15 05:07:09-05
371,1,2020-02-15 05:07:09-05
372,15,2020-02-15 05:07:09-05
373,3,2020-02-15 05:07:09-05
374,14,2020-02-15 05:07:09-05
375,1,2020-02-15 05:07:09-05
376,9,2020-02-15 05:07:09-05
377,8,2020-02-15 05:07:09-05
378,12,2020-02-15 05:07:09-05
379,7,2020-02-15 05:07:09-05
380,9,2020-02-15 05:07:09-05
381,10,2020-02-15 05:07:09-05
382,10,2020-02-15 05:07:09-05
383,15,2020-02-15 05:07:09-05
384,12,2020-02-15 05:07:09-05
385,5,2020-02-15 05:07:09-05
386,16,2020-02-15 05:07:09-05
387,10,2020-02-15 05:07:09-05
388,5,2020-02-15 05:07:09-05
389,15,2020-02-15 05:07:09-05
390,14,2020-02-15 05:07:09-05
391,8,2020-02-15 05:07:09-05
392,3,2020-02-15 05:07:09-05
393,6,2020-02-15 05:07:09-05
394,14,2020-02-15 05:07:09-05
395,1,2020-02-15 05:07:09-05
396,7,2020-02-15 05:07:09-05
397,14,2020-02-15 05:07:09-05
398,12,2020-02-15 05:07:09-05
399,9,2020-02-15 05:07:09-05
400,6,2020-02-15 05:07:09-05
401,7,2020-02-15 05:07:09-05
402,2,2020-02-15 05:07:09-05
403,7,2020-02-15 05:07:09-05
404,5,2020-02-15 05:07:09-05
405,16,2020-02-15 05:07:09-05
406,10,2020-02-15 05:07:09-05
407,6,2020-02-15 05:07:09-05
408,10,2020-02-15 05:07:09-05
409,3,2020-02-15 05:07:09-05
410,5,2020-02-15 05:07:09-05
411,12,2020-02-15 05:07:09-05
412,6,2020-02-15 05:07:09-05
413,5,2020-02-15 05:07:09-05
414,9,2020-02-15 05:07:09-05
415,11,2020-02-15 05:07:09-05
416,9,2020-02-15 05:07:09-05
417,1,2020-02-15 05:07:09-05
418,7,2020-02-15 05:07:09-05
419,8,2020-02-15 05:07:09-05
420,15,2020-02-15 05:07:09-05
421,9,2020-02-15 05:07:09-05
422,14,2020-02-15 05:07:09-05
423,3,2020-02-15 05:07:09-05
424,3,2020-02-15 05:07:09-05
425,4,2020-02-15 05:07:09-05
426,12,2020-02-15 05:07:09-05
427,6,2020-02-15 05:07:09-05
428,8,2020-02-15 05:07:09-05
429,15,2020-02-15 05:07:09-05
430,2,2020-02-15 05:07:09-05
431,9,2020-02-15 05:07:09-05
432,4,2020-02-15 05:07:09-05
433,2,2020-02-15 05:07:09-05
434,16,2020-02-15 05:07:09-05
435,9,2020-02-15 05:07:09-05
436,13,2020-02-15 05:07:09-05
437,8,2020-02-15 05:07:09-05
438,10,2020-02-15 05:07:09-05
439,7,2020-02-15 05:07:09-05
440,9,2020-02-15 05:07:09-05
441,6,2020-02-15 05:07:09-05
442,8,2020-02-15 05:07:09-05
443,5,2020-02-15 05:07:09-05
444,5,2020-02-15 05:07:09-05
445,4,2020-02-15 05:07:09-05
446,15,2020-02-15 05:07:09-05
447,10,2020-02-15 05:07:09-05
448,13,2020-02-15 05:07:09-05
449,14,2020-02-15 05:07:09-05
450,3,2020-02-15 05:07:09-05
451,16,2020-02-15 05:07:09-05
452,9,2020-02-15 05:07:09-05
453,15,2020-02-15 05:07:09-05
454,12,2020-02-15 05:07:09-05
455,9,2020-02-15 05:07:09-05
456,2,2020-02-15 05:07:09-05
457,6,2020-02-15 05:07:09-05
458,8,2020-02-15 05:07:09-05
459,9,2020-02-15 05:07:09-05
460,9,2020-02-15 05:07:09-05
461,2,2020-02-15 05:07:09-05
462,12,2020-02-15 05:07:09-05
463,15,2020-02-15 05:07:09-05
464,2,2020-02-15 05:07:09-05
465,13,2020-02-15 05:07:09-05
466,6,2020-02-15 05:07:09-05
467,9,2020-02-15 05:07:09-05
468,3,2020-02-15 05:07:09-05
469,4,2020-02-15 05:07:09-05
470,2,2020-02-15 05:07:09-05
471,4,2020-02-15 05:07:09-05
472,16,2020-02-15 05:07:09-05
473,7,2020-02-15 05:07:09-05
474,15,2020-02-15 05:07:09-05
475,11,2020-02-15 05:07:09-05
476,8,2020-02-15 05:07:09-05
477,12,2020-02-15 05:07:09-05
478,5,2020-02-15 05:07:09-05
479,8,2020-02-15 05:07:09-05
480,4,2020-02-15 05:07:09-05
481,13,2020-02-15 05:07:09-05
482,4,2020-02-15 05:07:09-05
483,10,2020-02-15 05:07:09-05
484,4,2020-02-15 05:07:09-05
485,3,2020-02-15 05:07:09-05
486,9,2020-02-15 05:07:09-05
487,4,2020-02-15 05:07:09-05
488,15,2020-02-15 05:07:09-05
489,2,2020-02-15 05:07:09-05
490,13,2020-02-15 05:07:09-05
491,3,2020-02-15 05:07:09-05
492,13,2020-02-15 05:07:09-05
493,9,2020-02-15 05:07:09-05
494,11,2020-02-15 05:07:09-05
495,11,2020-02-15 05:07:09-05
496,16,2020-02-15 05:07:09-05
497,6,2020-02-15 05:07:09-05
498,8,2020-02-15 05:07:09-05
499,8,2020-02-15 05:07:09-05
500,9,2020-02-15 05:07:09-05
501,1,2020-02-15 05:07:09-05
502,5,2020-02-15 05:07:09-05
503,15,2020-02-15 05:07:09-05
504,7,2020-02-15 05:07:09-05
505,3,2020-02-15 05:07:09-05
506,11,2020-02-15 05:07:09-05
507,10,2020-02-15 05:07:09-05
508,10,2020-02-15 05:07:09-05
509,3,2020-02-15 05:07:09-05
510,2,2020-02-15 05:07:09-05
511,1,2020-02-15 05:07:09-05
512,4,2020-02-15 05:07:09-05
513,16,2020-02-15 05:07:09-05
514,7,2020-02-15 05:07:09-05
515,3,2020-02-15 05:07:09-05
516,12,2020-02-15 05:07:09-05
517,15,2020-02-15 05:07:09-05
518,16,2020-02-15 05:07:09-05
519,15,2020-02-15 05:07:09-05
520,14,2020-02-15 05:07:09-05
521,7,2020-02-15 05:07:09-05
522,5,2020-02-15 05:07:09-05
523,4,2020-02-15 05:07:09-05
524,5,2020-02-15 05:07:09-05
525,4,2020-02-15 05:07:09-05
526,16,2020-02-15 05:07:09-05
527,11,2020-02-15 05:07:09-05
528,8,2020-02-15 05:07:09-05
529,5,2020-02-15 05:07:09-05
530,1,2020-02-15 05:07:09-05
531,9,2020-02-15 05:07:09-05
532,15,2020-02-15 05:07:09-05
533,9,2020-02-15 05:07:09-05
534,8,2020-02-15 05:07:09-05
535,11,2020-02-15 05:07:09-05
536,4,2020-02-15 05:07:09-05
537,4,2020-02-15 05:07:09-05
538,13,2020-02-15 05:07:09-05
539,7,2020-02-15 05:07:09-05
540,12,2020-02-15 05:07:09-05
541,2,2020-02-15 05:07:09-05
542,1,2020-02-15 05:07:09-05
543,16,2020-02-15 05:07:09-05
544,6,2020-02-15 05:07:09-05
545,9,2020-02-15 05:07:09-05
546,10,2020-02-15 05:07:09-05
547,3,2020-02-15 05:07:09-05
548,4,2020-02-15 05:07:09-05
549,1,2020-02-15 05:07:09-05
550,8,2020-02-15 05:07:09-05
551,13,2020-02-15 05:07:09-05
552,6,2020-02-15 05:07:09-05
553,3,2020-02-15 05:07:09-05
554,4,2020-02-15 05:07:09-05
555,5,2020-02-15 05:07:09-05
556,10,2020-02-15 05:07:09-05
557,8,2020-02-15 05:07:09-05
558,13,2020-02-15 05:07:09-05
559,14,2020-02-15 05:07:09-05
560,10,2020-02-15 05:07:09-05
561,13,2020-02-15 05:07:09-05
562,12,2020-02-15 05:07:09-05
563,10,2020-02-15 05:07:09-05
564,2,2020-02-15 05:07:09-05
565,9,2020-02-15 05:07:09-05
566,9,2020-02-15 05:07:09-05
567,9,2020-02-15 05:07:09-05
568,5,2020-02-15 05:07:09-05
569,2,2020-02-15 05:07:09-05
570,15,2020-02-15 05:07:09-05
571,6,2020-02-15 05:07:09-05
572,14,2020-02-15 05:07:09-05
573,3,2020-02-15 05:07:09-05
574,1,2020-02-15 05:07:09-05
575,6,2020-02-15 05:07:09-05
576,6,2020-02-15 05:07:09-05
577,15,2020-02-15 05:07:09-05
578,4,2020-02-15 05:07:09-05
579,1,2020-02-15 05:07:09-05
580,13,2020-02-15 05:07:09-05
581,12,2020-02-15 05:07:09-05
582,2,2020-02-15 05:07:09-05
583,2,2020-02-15 05:07:09-05
584,9,2020-02-15 05:07:09-05
585,7,2020-02-15 05:07:09-05
586,1,2020-02-15 05:07:09-05
587,6,2020-02-15 05:07:09-05
588,3,2020-02-15 05:07:09-05
589,6,2020-02-15 05:07:09-05
590,13,2020-02-15 05:07:09-05
591,10,2020-02-15 05:07:09-05
592,12,2020-02-15 05:07:09-05
593,11,2020-02-15 05:07:09-05
594,1,2020-02-15 05:07:09-05
595,9,2020-02-15 05:07:09-05
596,10,2020-02-15 05:07:09-05
597,10,2020-02-15 05:07:09-05
598,15,2020-02-15 05:07:09-05
599,15,2020-02-15 05:07:09-05
600,11,2020-02-15 05:07:09-05
601,16,2020-02-15 05:07:09-05
602,14,2020-02-15 05:07:09-05
603,8,2020-02-15 05:07:09-05
604,5,2020-02-15 05:07:09-05
605,9,2020-02-15 05:07:09-05
606,15,2020-02-15 05:07:09-05
607,9,2020-02-15 05:07:09-05
608,3,2020-02-15 05:07:09-05
609,16,2020-02-15 05:07:09-05
610,8,2020-02-15 05:07:09-05
611,4,2020-02-15 05:07:09-05
612,15,2020-02-15 05:07:09-05
613,5,2020-02-15 05:07:09-05
614,10,2020-02-15 05:07:09-05
615,2,2020-02-15 05:07:09-05
616,6,2020-02-15 05:07:09-05
617,8,2020-02-15 05:07:09-05
618,7,2020-02-15 05:07:09-05
619,15,2020-02-15 05:07:09-05
620,14,2020-02-15 05:07:09-05
621,8,2020-02-15 05:07:09-05
622,6,2020-02-15 05:07:09-05
623,9,2020-02-15 05:07:09-05
624,10,2020-02-15 05:07:09-05
625,14,2020-02-15 05:07:09-05
626,3,2020-02-15 05:07:09-05
627,6,2020-02-15 05:07:09-05
628,15,2020-02-15 05:07:09-05
629,6,2020-02-15 05:07:09-05
630,7,2020-02-15 05:07:09-05
631,15,2020-02-15 05:07:09-05
632,13,2020-02-15 05:07:09-05
633,4,2020-02-15 05:07:09-05
634,8,2020-02-15 05:07:09-05
635,13,2020-02-15 05:07:09-05
636,12,2020-02-15 05:07:09-05
637,14,2020-02-15 05:07:09-05
638,5,2020-02-15 05:07:09-05
639,8,2020-02-15 05:07:09-05
640,9,2020-02-15 05:07:09-05
641,9,2020-02-15 05:07:09-05
642,16,2020-02-15 05:07:09-05
643,7,2020-02-15 05:07:09-05
644,2,2020-02-15 05:07:09-05
645,16,2020-02-15 05:07:09-05
646,10,2020-02-15 05:07:09-05
647,12,2020-02-15 05:07:09-05
648,16,2020-02-15 05:07:09-05
649,2,2020-02-15 05:07:09-05
650,6,2020-02-15 05:07:09-05
651,2,2020-02-15 05:07:09-05
652,4,2020-02-15 05:07:09-05
653,11,2020-02-15 05:07:09-05
654,10,2020-02-15 05:07:09-05
655,14,2020-02-15 05:07:09-05
656,16,2020-02-15 05:07:09-05
657,5,2020-02-15 05:07:09-05
658,11,2020-02-15 05:07:09-05
659,1,2020-02-15 05:07:09-05
660,5,2020-02-15 05:07:09-05
661,9,2020-02-15 05:07:09-05
662,7,2020-02-15 05:07:09-05
663,4,2020-02-15 05:07:09-05
664,1,2020-02-15 05:07:09-05
665,11,2020-02-15 05:07:09-05
666,7,2020-02-15 05:07:09-05
667,15,2020-02-15 05:07:09-05
668,15,2020-02-15 05:07:09-05
669,9,2020-02-15 05:07:09-05
670,6,2020-02-15 05:07:09-05
671,15,2020-02-15 05:07:09-05
672,5,2020-02-15 05:07:09-05
673,12,2020-02-15 05:07:09-05
674,9,2020-02-15 05:07:09-05
675,13,2020-02-15 05:07:09-05
676,15,2020-02-15 05:07:09-05
677,13,2020-02-15 05:07:09-05
678,15,2020-02-15 05:07:09-05
679,8,2020-02-15 05:07:09-05
680,5,2020-02-15 05:07:09-05
681,15,2020-02-15 05:07:09-05
682,8,2020-02-15 05:07:09-05
683,7,2020-02-15 05:07:09-05
684,10,2020-02-15 05:07:09-05
685,13,2020-02-15 05:07:09-05
686,13,2020-02-15 05:07:09-05
687,6,2020-02-15 05:07:09-05
688,3,2020-02-15 05:07:09-05
689,9,2020-02-15 05:07:09-05
690,2,2020-02-15 05:07:09-05
691,15,2020-02-15 05:07:09-05
692,2,2020-02-15 05:07:09-05
693,2,2020-02-15 05:07:09-05
694,4,2020-02-15 05:07:09-05
695,8,2020-02-15 05:07:09-05
696,2,2020-02-15 05:07:09-05
697,1,2020-02-15 05:07:09-05
698,6,2020-02-15 05:07:09-05
699,10,2020-02-15 05:07:09-05
700,8,2020-02-15 05:07:09-05
701,10,2020-02-15 05:07:09-05
702,11,2020-02-15 05:07:09-05
703,2,2020-02-15 05:07:09-05
704,5,2020-02-15 05:07:09-05
705,9,2020-02-15 05:07:09-05
706,7,2020-02-15 05:07:09-05
707,1,2020-02-15 05:07:09-05
708,6,2020-02-15 05:07:09-05
709,7,2020-02-15 05:07:09-05
710,8,2020-02-15 05:07:09-05
711,14,2020-02-15 05:07:09-05
712,6,2020-02-15 05:07:09-05
713,6,2020-02-15 05:07:09-05
714,14,2020-02-15 05:07:09-05
715,8,2020-02-15 05:07:09-05
716,11,2020-02-15 05:07:09-05
717,1,2020-02-15 05:07:09-05
718,12,2020-02-15 05:07:09-05
719,15,2020-02-15 05:07:09-05
720,13,2020-02-15 05:07:09-05
721,12,2020-02-15 05:07:09-05
722,11,2020-02-15 05:07:09-05
723,14,2020-02-15 05:07:09-05
724,8,2020-02-15 05:07:09-05
725,4,2020-02-15 05:07:09-05
726,9,2020-02-15 05:07:09-05
727,8,2020-02-15 05:07:09-05
728,7,2020-02-15 05:07:09-05
729,15,2020-02-15 05:07:09-05
730,13,2020-02-15 05:07:09-05
731,4,2020-02-15 05:07:09-05
732,1,2020-02-15 05:07:09-05
733,15,2020-02-15 05:07:09-05
734,6,2020-02-15 05:07:09-05
735,3,2020-02-15 05:07:09-05
